code,num
C1072,681.64625
C1128,1377.7777777777778
C1456,619.821111111111
C1840,584.2375
C1332,1036.8450000000003
C1563,1267.442727272727
C1794,912.9116666666667
C1640,375.49
C1377,369.33
C2072,316.8525
C1472,500.13199999999995
C1006,276.17259259259265
C1083,393.84999999999997
C1311,323.44375
C2676,180.38000000000008
C2318,327.22
C1603,345.1175
C2523,374.3966666666667
C2177,214.40160000000006
C2411,815.1200000000001
C2033,149.25719999999993
C1604,471.08000000000004
C2535,496.655
C1040,513.655
C2417,407.25
C1812,127.49185185185186
C2253,100.37129032258069
C1294,427.6033333333333
C1772,342.52666666666664
C2646,437.86
C1152,1100.78
C2423,163.74
C1844,419.21999999999997
C1318,325.50333333333333
C1729,85.30999999999996
C1602,281.81333333333333
C1239,435.65999999999997
C1721,553.6533333333333
C1902,780.98
C1855,325.6075
C2600,492.71999999999997
C1071,414.61199999999997
C2295,475.184
C1621,513.6657142857143
C1852,723.0966666666667
C2555,908.192
C1297,450.938
C2323,576.6575
C2215,421.09000000000003
C2112,417.4733333333333
C1830,716.8366666666668
C2602,287.20000000000005
C2608,897.52125
C1215,724.7466666666668
C2369,560.525
C1158,301.79333333333335
C1887,500.1291666666666
C1189,314.095
C1637,373.7166666666667
C1225,149.17999999999998
C2374,430.8983333333333
C2397,552.2099999999999
C1105,971.8970000000002
C1782,415.41
C1629,128.71333333333334
C1708,362.8466666666667
C2144,686.7514285714285
C1617,1075.18
C1149,543.5699999999999
C1323,479.4157142857143
C1064,748.388
C1019,325.44
C2269,605.862
C1416,820.7614285714286
C1250,849.3266666666668
C1741,434.5166666666667
C1016,706.67
C2436,566.592
C2039,912.94
C1253,847.6933333333333
C2028,1018.442
C1166,305.15
C1135,239.79249999999996
C1216,335.7966666666667
C1593,247.91000000000003
C1826,260.05333333333334
C1827,447.01599999999996
C1564,275.9
C1495,1121.614
C2653,865.0400000000001
C1392,519.8633333333333
C2128,332.34000000000003
C1282,655.4583333333334
C1521,1005.3644444444445
C2076,972.7400000000001
C1060,585.7842857142857
C2473,1018.5833333333334
C2557,712.4157142857142
C1835,962.8071428571428
C2224,555.99
C2222,420.62428571428575
C2430,802.8083333333334
C2497,405.48499999999996
C1494,837.4633333333333
C1457,512.4733333333334
C1525,1180.4929411764708
C1712,525.6783333333333
C2267,1108.4759999999999
C1623,304.3066666666667
C2131,566.0266666666666
C2691,1311.8566666666666
C1147,836.0871428571429
C1692,1086.5720000000001
C1570,1078.6999999999998
C1474,118.66
C1633,165.00666666666666
C2113,464.9425
C2175,874.77
C2303,1432.1900000000003
C2547,488.1699999999999
C2292,865.54
C1496,614.1133333333333
C1289,432.942
C1849,743.768
C1003,303.58875
C2268,437.0181818181818
C2551,491.6766666666667
C2688,63.61000000000001
C1030,40.660000000000004
C2451,560.1300000000001
C1749,455.7366666666667
C1349,267.0957142857143
C2043,284.21714285714285
C1229,280.82125
C2363,486.09999999999997
C1414,366.31142857142856
C2174,439.88199999999995
C2091,141.102
C1841,94.35799999999999
C2404,140.81818181818178
C1683,229.4075
C1038,357.33666666666664
C2456,213.93
C1266,539.192
C2152,33.325
C1267,449.32000000000005
C2189,283.34749999999997
C2675,0
C2335,0
C1327,0
